id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
984,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/55c6e0d042704c7e8c6f67df4a0af106/20200811115953_20200807115458.jpg,20200807115458,2020-08-07 11:54:58,2020-08-11 11:59:53,1,,0,36.2℃,,
985,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/72562d708dfb44d2abbad783f1d53e5f/20200811115953_20200807115456.jpg,20200807115456,2020-08-07 11:54:56,2020-08-11 11:59:53,1,,0,36.3℃,,
986,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/17bd594a89944c9dacaa137df77f08c3/20200811115953_20200807115452.jpg,20200807115452,2020-08-07 11:54:52,2020-08-11 11:59:53,1,,0,36.3℃,,
987,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/f771da6b359a4888996839f589812947/20200811115954_20200807115450.jpg,20200807115450,2020-08-07 11:54:50,2020-08-11 11:59:54,1,,0,36.3℃,,
988,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/74434d858f1f4031bc5d440c5284fba4/20200811115954_20200807115446.jpg,20200807115446,2020-08-07 11:54:46,2020-08-11 11:59:54,1,,0,36.2℃,,
989,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/fed353f558754296b66590b1c6b83206/20200811115954_20200807115449.jpg,20200807115449,2020-08-07 11:54:49,2020-08-11 11:59:54,1,,0,36.5℃,,
990,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/8e5d74fa5e7b40bfb663198df67a9065/20200811120316_20200811120250.jpg,20200811120250,2020-08-11 12:02:50,2020-08-11 12:03:16,1,,0,36.5℃,,
991,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/bb5a01d4038e44749bdb5a9c7516cf64/20200811120452_20200811120240.jpg,20200811120240,2020-08-11 12:02:40,2020-08-11 12:04:52,1,,0,36.4℃,,
992,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/509c1109586d457c9432a17aa9665ca4/20200811120452_20200811120158.jpg,20200811120158,2020-08-11 12:01:58,2020-08-11 12:04:52,1,,0,36.3℃,,
993,1,-2,3,未登録(- - -),,20200811120155,2020-08-11 12:01:55,2020-08-11 12:01:55,1,,0,36.4℃,,
